iter	Passed	Remaining
0	34	34217
1	71	35628
2	96	32065
3	127	31742
4	161	32109
5	210	34934
6	244	34618
7	286	35540
8	327	36037
9	370	36707
10	413	37185
11	452	37234
12	490	37254
13	531	37408
14	585	38425
15	642	39497
16	684	39601
17	733	40026
18	781	40367
19	819	40162
20	864	40283
21	903	40176
22	953	40483
23	997	40563
24	1042	40645
25	1077	40353
26	1121	40414
27	1161	40306
28	1202	40274
29	1249	40401
30	1285	40182
31	1335	40390
32	1384	40573
33	1422	40426
34	1476	40717
35	1530	40988
36	1564	40711
37	1603	40603
38	1647	40595
39	1684	40425
40	1724	40325
41	1771	40407
42	1816	40436
43	1878	40808
44	1915	40655
45	1954	40537
46	2001	40592
47	2040	40462
48	2079	40365
49	2111	40120
50	2149	40005
51	2186	39863
52	2230	39855
53	2274	39847
54	2354	40447
55	2411	40656
56	2448	40505
57	2496	40552
58	2540	40519
59	2591	40596
60	2632	40517
61	2686	40639
62	2731	40625
63	2775	40594
64	2814	40489
65	2855	40407
66	2899	40373
67	2939	40293
68	2986	40302
69	3034	40322
70	3082	40333
71	3130	40348
72	3168	40237
73	3216	40248
74	3255	40152
75	3298	40098
76	3341	40056
77	3384	40004
78	3420	39880
79	3461	39811
80	3498	39692
81	3534	39564
82	3588	39651
83	3633	39620
84	3667	39480
85	3711	39441
86	3755	39411
87	3790	39286
88	3832	39224
89	3878	39214
90	3926	39223
91	3963	39119
92	4002	39036
93	4052	39055
94	4094	39002
95	4134	38933
96	4191	39019
97	4241	39037
98	4284	38995
99	4331	38987
100	4370	38900
101	4408	38816
102	4445	38712
103	4487	38658
104	4523	38553
105	4559	38453
106	4602	38413
107	4639	38322
108	4680	38259
109	4718	38175
110	4756	38096
111	4802	38078
112	4839	37989
113	4874	37886
114	4924	37900
115	4974	37906
116	5010	37814
117	5049	37739
118	5095	37727
119	5141	37703
120	5188	37691
121	5231	37650
122	5284	37676
123	5323	37609
124	5360	37524
125	5400	37461
126	5449	37457
127	5495	37437
128	5542	37422
129	5579	37342
130	5624	37309
131	5663	37241
132	5709	37216
133	5763	37247
134	5811	37237
135	5853	37184
136	5890	37103
137	5929	37040
138	5973	37000
139	6023	36999
140	6062	36931
141	6111	36928
142	6176	37014
143	6222	36991
144	6263	36933
145	6318	36956
146	6359	36902
147	6423	36976
148	6471	36963
149	6519	36942
150	6556	36863
151	6606	36857
152	6641	36766
153	6703	36826
154	6766	36885
155	6810	36848
156	6846	36763
157	6886	36698
158	6932	36669
159	6970	36595
160	7018	36572
161	7054	36489
162	7107	36494
163	7153	36466
164	7193	36403
165	7240	36378
166	7295	36388
167	7341	36357
168	7386	36320
169	7436	36305
170	7479	36260
171	7526	36233
172	7571	36194
173	7610	36129
174	7665	36137
175	7733	36207
176	7779	36173
177	7825	36138
178	7866	36080
179	7907	36021
180	7949	35968
181	7994	35931
182	8043	35911
183	8083	35850
184	8126	35799
185	8167	35745
186	8205	35675
187	8246	35619
188	8300	35619
189	8341	35560
190	8396	35562
191	8431	35484
192	8483	35473
193	8532	35449
194	8572	35389
195	8624	35376
196	8671	35346
